step,train_teacher_loss,development_teacher_loss,sft_loss,replay_loss,joint_loss,learning_rate,replay_train_tokens
0,5.8871568520863855,5.818234443664551,0.0,0.0,0.0,0.0,0
25,3.9846025705337524,3.95143985748291,4.348968029022217,4.867928504943848,5.565950393676758,9.996155912742854e-06,12800
50,2.5259798871146306,2.508854389190674,3.0345866680145264,4.352357864379883,4.122675895690918,9.862301196726988e-06,25600
75,1.6380974120563931,1.6446529626846313,1.6812543869018555,4.571870803833008,2.8242220878601074,9.542759418513906e-06,38400
100,1.0127408623695373,1.0322628021240234,1.3685829639434814,4.823266983032227,2.574399709701538,9.051132292283772e-06,51200
125,0.6070693830649058,0.6257821917533875,0.7354276180267334,4.879804611206055,1.955378770828247,8.408346570374234e-06,64000
150,0.3824284715784921,0.4023077189922333,0.5954844951629639,4.576678276062012,1.7396540641784668,7.641763268666832e-06,76800
175,0.26001855962806275,0.2767634391784668,0.4830699563026428,4.277949810028076,1.5525574684143066,6.784013009120974e-06,89600
200,0.1926576261719068,0.21183007955551147,0.3113325834274292,4.679359436035156,1.4811724424362183,5.871607054625496e-06,102400
225,0.15456611348523033,0.1741407960653305,0.26284366846084595,4.3204264640808105,1.3429503440856934,4.943383159287935e-06,115200
250,0.1341952607035637,0.15442205965518951,0.21048490703105927,4.93381404876709,1.4439383745193481,4.038852388578925e-06,128000
275,0.11756225758128697,0.1373177468776703,0.22231687605381012,4.622679710388184,1.3779867887496948,3.1965172790967967e-06,140800
300,0.10889522226320372,0.12858474254608154,0.17139539122581482,4.611621856689453,1.3243008852005005,2.4522329276841656e-06,153600
325,0.1017315020163854,0.12131787091493607,0.21457591652870178,4.676358222961426,1.3836654424667358,1.8376807722841227e-06,166400
350,0.09716547611686918,0.11722464114427567,0.1682136505842209,4.608345031738281,1.3202998638153076,1.3790200300522413e-06,179200
375,0.09299248307943345,0.11343280225992203,0.1349649280309677,4.262876033782959,1.2006839513778687,1.0957741960269049e-06,192000
400,0.09034552979800436,0.11077246069908142,0.15348993241786957,4.522554397583008,1.2841285467147827,1e-06,204800
