step,train_teacher_loss,development_teacher_loss,sft_loss,replay_loss,joint_loss,learning_rate,replay_train_tokens
0,5.8871568520863855,5.818234443664551,0.0,0.0,0.0,0.0,0
25,3.9809045155843097,3.9474759101867676,4.345345497131348,4.872437477111816,4.832589149475098,9.996155912742854e-06,12800
50,2.5189678324593436,2.5015437602996826,3.025731086730957,4.372264862060547,3.4629576206207275,9.862301196726988e-06,25600
75,1.6262060946888395,1.6326711177825928,1.6707210540771484,4.601921081542969,2.130913257598877,9.542759418513906e-06,38400
100,0.9963446471426222,1.01566481590271,1.3463057279586792,4.858705520629883,1.8321763277053833,9.051132292283772e-06,51200
125,0.5892942090829213,0.607689380645752,0.7174676656723022,4.932326316833496,1.210700273513794,8.408346570374234e-06,64000
150,0.36679443452093335,0.38605737686157227,0.5690909028053284,4.618371963500977,1.030928134918213,7.641763268666832e-06,76800
175,0.2470762034257253,0.26340171694755554,0.4628482460975647,4.328775405883789,0.8957257866859436,6.784013009120974e-06,89600
200,0.18127391520473693,0.20010171830654144,0.2904209494590759,4.724493026733398,0.7628702521324158,5.871607054625496e-06,102400
225,0.14407956881655587,0.16319958865642548,0.2436126321554184,4.3760905265808105,0.6812216639518738,4.943383159287935e-06,115200
250,0.12404977099763023,0.1439732164144516,0.19220243394374847,5.031283378601074,0.695330798625946,4.038852388578925e-06,128000
275,0.10792044483953052,0.12770476937294006,0.20303760468959808,4.689164638519287,0.6719540953636169,3.1965172790967967e-06,140800
300,0.09928682595491409,0.11897292733192444,0.15310679376125336,4.661890983581543,0.6192958950996399,2.4522329276841656e-06,153600
325,0.09217320895857281,0.11189935356378555,0.19864659011363983,4.733587265014648,0.672005295753479,1.8376807722841227e-06,166400
350,0.08757800799277093,0.10780738294124603,0.15338727831840515,4.6500749588012695,0.6183947920799255,1.3790200300522413e-06,179200
375,0.08339771976073583,0.10398933291435242,0.12087618559598923,4.311558246612549,0.5520319938659668,1.0957741960269049e-06,192000
400,0.08084352182017432,0.10146080702543259,0.13545477390289307,4.588682174682617,0.5943230390548706,1e-06,204800
