step,train_teacher_loss,holdout_teacher_loss,learning_rate,coverage
0,5.8871568520863855,5.818234443664551,0.0,0.0
25,3.596503485573663,3.5660111904144287,9.862301196726988e-06,1.0
50,2.35591821802987,2.3388280868530273,9.051132292283772e-06,1.0
75,1.6004049817721049,1.606460690498352,7.641763268666832e-06,1.0
100,1.111481699678633,1.1275217533111572,5.871607054625496e-06,1.0
125,0.8338004648685455,0.8520053625106812,4.038852388578925e-06,1.0
150,0.6834051979912652,0.702819287776947,2.4522329276841656e-06,1.0
175,0.6064481106069353,0.6261677742004395,1.3790200300522413e-06,1.0
200,0.5653658290704091,0.5847235918045044,1e-06,1.0
