stage,step,train_loss,val_loss
pretrain,0,8.840729713439941,8.82012848854065
pretrain,500,6.924776458740235,6.9509706735610965
pretrain,1000,6.223933291435242,6.318069219589233
pretrain,1500,5.733356022834778,6.007569360733032
pretrain,2000,5.483193969726562,5.7455809116363525
pretrain,2500,5.268072772026062,5.582559490203858
pretrain,3000,5.183393907546997,5.449449300765991
pretrain,3500,5.040424036979675,5.359385251998901
pretrain,4000,4.926940774917602,5.319342422485351
pretrain,4500,4.820903468132019,5.254408240318298
pretrain,5000,4.713116908073426,5.201953887939453
pretrain,5500,4.703087329864502,5.100755000114441
pretrain,6000,4.59394941329956,5.126641058921814
pretrain,6500,4.571639132499695,4.980291533470154
pretrain,7000,4.424024558067321,4.977237939834595
pretrain,7500,4.394695580005646,5.005553150177002
pretrain,8000,4.400699973106384,4.847705364227295
pretrain,8500,4.339485061168671,4.901883149147034
pretrain,9000,4.262449073791504,4.905625438690185
pretrain,9500,4.183515572547913,4.819120287895203
pretrain,10000,4.2364549994468685,4.8035808324813845
sft,0,6.380350060413998,6.858620084303748
sft,100,2.0835022094118116,4.000875946897161
sft,200,1.3961629654689482,3.775501786773769
sft,300,0.9919022399743138,3.838791664948994
sft,400,0.639941456984452,3.771065370181564
sft,500,0.43082901207114094,3.800280657117338
sft,600,0.3074388037516219,3.858808407104513
sft,700,0.21325339009275024,3.851101254437037
sft,800,0.13157973653726804,3.9441078181117475
