step,train_loss,val_loss,selection_score,behavior_passed,entity_passed,eos_count
0,6.331120332352245,6.135338952593198,0.038646610474068026,0,0,2
250,4.1822662562192665,3.909549898694717,2.910904501013053,2,0,19
500,3.492960040744351,3.3062672653674703,1.5169373273463254,1,0,11
750,3.1207819986229928,3.0293198307100546,1.4197068016928993,1,0,9
1000,2.8710405091134,2.863548627663326,1.6213645137233668,1,0,13
1250,2.635513875170033,2.7666531969656116,3.5223334680303435,3,0,11
1500,2.413593273029937,2.6907328977471305,1.5730926710225288,1,0,12
1750,2.3053695904325258,2.6334867276144247,1.5236651327238557,1,0,11
2000,2.2092696725714376,2.5940463509757667,1.2240595364902422,1,0,5
