step,train_loss,val_loss
0,4.471810026541768,4.490948641741717
5,3.5110325946488192,4.059970926355432
10,2.9546994790018606,3.8431013601797597
15,2.4593487851446567,3.6524664560953775
20,1.9940074302630717,3.4976444950810186
