step,checkpoint_sha256,fixed_window_validation_token_loss_nats,token_bits_per_token_value,validation_bits_per_character,validation_bpc_source,token_perplexity,next_token_top1_accuracy,generation_empty_rate,generation_eos_stop_rate,generation_mechanical_degeneration_rate,generation_mean_unique_character_ratio,generation_mean_four_gram_repetition,cloze_total_log_probability_overall_top1_accuracy,cloze_total_log_probability_overall_mean_reciprocal_rank,cloze_total_log_probability_high_top1_accuracy,cloze_total_log_probability_high_mean_reciprocal_rank,cloze_total_log_probability_low_top1_accuracy,cloze_total_log_probability_low_mean_reciprocal_rank,cloze_mean_token_log_probability_overall_top1_accuracy,cloze_mean_token_log_probability_overall_mean_reciprocal_rank,cloze_mean_token_log_probability_high_top1_accuracy,cloze_mean_token_log_probability_high_mean_reciprocal_rank,cloze_mean_token_log_probability_low_top1_accuracy,cloze_mean_token_log_probability_low_mean_reciprocal_rank,cloze_per_character_log_probability_overall_top1_accuracy,cloze_per_character_log_probability_overall_mean_reciprocal_rank,cloze_per_character_log_probability_high_top1_accuracy,cloze_per_character_log_probability_high_mean_reciprocal_rank,cloze_per_character_log_probability_low_top1_accuracy,cloze_per_character_log_probability_low_mean_reciprocal_rank,cloze_context_lift_overall_top1_accuracy,cloze_context_lift_overall_mean_reciprocal_rank,cloze_context_lift_high_top1_accuracy,cloze_context_lift_high_mean_reciprocal_rank,cloze_context_lift_low_top1_accuracy,cloze_context_lift_low_mean_reciprocal_rank
250,20fa8bb335d8e05716e4773152bec0c70f15a1291ce7752b2fa54215fd171358,6.9987174352010095,10.097014936347621,5.914875678244785,frozen_full_validation_training_history,1095.2275569222404,0.07805989583333334,0.0,0.0,0.125,0.39699837502979485,0.012983858655674453,0.25,0.5138888888888888,0.5,0.6666666666666666,0.0,0.3611111111111111,0.3333333333333333,0.5763888888888888,0.5,0.6666666666666666,0.16666666666666666,0.4861111111111111,0.25,0.5138888888888888,0.5,0.6666666666666666,0.0,0.3611111111111111,0.5833333333333334,0.7013888888888888,0.6666666666666666,0.7638888888888888,0.5,0.6388888888888888
5750,bfe4fec5e6045d4c06d22393e7c2079fdc03897be71829c9d9dcbaf0fcaf5c1e,4.438906606038412,6.403988547500877,3.761229497144957,frozen_full_validation_training_history,84.68229992070408,0.24169921875,0.0,0.0,0.0,0.6363992739573234,0.020601770601770604,0.6666666666666666,0.8055555555555556,0.8333333333333334,0.8888888888888888,0.5,0.7222222222222222,0.6666666666666666,0.8055555555555556,0.8333333333333334,0.8888888888888888,0.5,0.7222222222222222,0.6666666666666666,0.8055555555555556,0.8333333333333334,0.8888888888888888,0.5,0.7222222222222222,0.6666666666666666,0.8194444444444444,1.0,1.0,0.3333333333333333,0.6388888888888888
6000,bfc05c0c045e473316d0f44a3e766570ac7325ab42f8d10570106bc2c9daaab5,4.430016867319742,6.391163365536654,3.7531531349649643,frozen_full_validation_training_history,83.93283262025388,0.243359375,0.0,0.0,0.0625,0.626042102403472,0.02815732049603016,0.6666666666666666,0.8194444444444444,0.8333333333333334,0.9166666666666666,0.5,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.5,0.75,0.6666666666666666,0.8194444444444444,0.8333333333333334,0.9166666666666666,0.5,0.7222222222222222,0.6666666666666666,0.7986111111111112,1.0,1.0,0.3333333333333333,0.5972222222222222
