step,train_loss,val_loss,selection_score,behavior_passed,entity_passed,eos_count
0,2.484840795685928,2.1958788668295517,8.228041211331705,7,0,25
250,1.808925818593816,1.943891718969757,10.380561082810303,7,2,28
500,1.6386922548059664,1.8584237792609726,13.43141576220739,10,2,29
