step,train_loss,val_loss,selection_score,behavior_passed,entity_passed,eos_count
0,2.520511266621812,2.173393865339076,8.22826606134661,7,0,25
250,1.8492296550941765,1.880073942195723,7.431199260578043,6,0,29
500,1.6900063590824324,1.7749819295704177,15.482250180704296,11,3,30
750,1.5995867381073499,1.7172149748177576,16.432827850251822,11,4,29
1000,1.5444311678875966,1.6637794850735166,15.433362205149264,10,4,29
