step,train_loss,val_loss
0,6.968331527709961,6.948764371871948
500,2.7997586369514464,2.5132094860076903
1000,3.514480638504028,2.4600398749113084
1500,1.9453097194433213,1.6974861294031143
2000,1.396763688325882,1.6750343501567841
