step,train_loss,val_loss,gap
0,8.394693374633789,8.39224033355713,-0.0024530410766594457
20,6.397723627090454,6.346663856506348,-0.05105977058410627
40,5.793024158477783,5.722723340988159,-0.07030081748962402
60,5.636834907531738,5.529665470123291,-0.10716943740844709
80,5.3796799659729,5.421756744384766,0.04207677841186541
100,5.345205688476563,5.301367235183716,-0.04383845329284686
200,4.8291136741638185,4.848110938072205,0.018997263908386408
300,4.617432856559754,4.649348616600037,0.03191576004028285
400,4.4398962497711185,4.5010411739349365,0.061144924163818004
500,4.342633008956909,4.374850630760193,0.03221762180328369
1000,3.94537593126297,4.08023693561554,0.13486100435256976
1500,3.8298837780952453,3.8788257122039793,0.04894193410873404
2000,3.7099843621253967,3.8142503023147585,0.10426594018936175
2500,3.649032914638519,3.672516715526581,0.02348380088806179
3000,3.4369479179382325,3.553126871585846,0.11617895364761344
3500,3.39858900308609,3.488137459754944,0.08954845666885403
4000,3.3484112143516542,3.363563334941864,0.015152120590209872
4500,3.2661297082901,3.434850883483887,0.1687211751937867
5000,3.1407414793968202,3.3963536620140076,0.2556121826171873
5500,3.083632743358612,3.30269193649292,0.21905919313430777
6000,3.035658931732178,3.2145684599876403,0.17890952825546247
6500,3.015301299095154,3.2181402683258056,0.2028389692306516
7000,3.047395205497742,3.1927176475524903,0.14532244205474854
7500,2.929555690288544,3.152312421798706,0.22275673151016218
8000,2.9502356171607973,3.1378716707229612,0.18763605356216395
8500,2.952404463291168,3.053923320770264,0.10151885747909573
9000,2.9327133178710936,3.1674970746040345,0.23478375673294094
9500,2.8298953413963317,3.147663652896881,0.3177683115005494
10000,2.833524990081787,3.0032503247261046,0.16972533464431772
