step,train_loss,val_loss,coverage
0,5.856426777942201,5.897454011051649,0.0
250,4.574565984793808,4.443955884972154,0.125
500,4.175485072954832,4.0808462273722075,0.05
750,3.8771015484923,3.8350438793199,0.175
1000,3.661783512467235,3.6713935057397498,0.3
1250,3.51350151836878,3.563222477994605,0.425
1500,3.3913438939183473,3.481479330800355,0.55
1750,3.3051557683836017,3.4124568679777396,0.675
2000,3.218449502075856,3.3561811674355195,0.8
