step,train_loss,val_loss
0,6.8640303134918215,6.772738599777222
500,2.8958201944828033,3.295549154281616
1000,1.5843231797218322,2.421701216697693
1500,1.5488068133592605,1.7768322050571441
2000,1.3671096950769424,1.6600452065467834
